@id,accessScheme,contentType,parentPid,publishScheme,title,hasData_@id,hasData_checksum_checksumValue,hasData_fileLabel,hasData_format,hasData_size,isDescribedBy_created,isDescribedBy_createdBy,isDescribedBy_lastModifiedBy,isDescribedBy_modified
frl:6473011,public,file,frl:6473010,public,['Trends in antipsychotic use among children and adolescents in Germany: A study using 2011-2020 nationwide outpatient claims data'],frl:6473011/data,da29753148022d70a092a8bc32fa5115,Dörks-et-al_2023_Trends in antipsychotic use among children.pdf,application/pdf,1471938,2024-01-30T12:46:14.993+0100,266,317,2024-02-05T09:08:34.977+0100
frl:6473015,public,file,frl:6473014,public,"['Marktdaten Pro Generika, 2022,3: [1. bis 3. Quartal 2022]']",frl:6473015/data,fb6e9df7a0a9b686b0752c1016f47edb,Marktdaten-Generika_Quartal-1-bis-3-2022.pdf,application/pdf,1922569,2024-01-31T09:32:26.027+0100,339,339,2024-03-15T10:34:20.600+0100
frl:6473017,public,file,frl:6473016,public,"['Marktdaten Pro Generika, 2022,4: [1. bis 4. Quartal 2022]']",frl:6473017/data,ffb2b59d83b28043dfec6a336e7d47a7,Marktdaten-Generika-Quartal-1-bis-4-2022.pdf,application/pdf,4269405,2024-01-31T09:59:26.806+0100,339,339,2024-03-15T10:45:33.503+0100
frl:6473019,public,file,frl:6473018,public,"['Marktdaten Pro Generika, 2023,1: [1. Quartal 2023]']",frl:6473019/data,64b432e425e637f9060dc0142a5babb4,Marktdaten-Generika_Quartal-1-2023.pdf,application/pdf,4275668,2024-01-31T11:06:54.133+0100,339,339,2024-03-15T10:49:41.165+0100
frl:6473021,public,file,frl:6473020,public,"['Marktdaten Pro Generika, 2023,2: [2. Quartal 2023]']",frl:6473021/data,400d1a4186024ae4c8684963662e58ae,Marktdaten-Generika_Quartal-1_2.pdf,application/pdf,1973070,2024-01-31T11:37:54.053+0100,339,339,2024-03-15T10:54:02.878+0100
frl:6473024,public,file,frl:6473022,public,"['Marktdaten Pro Generika, 2023,3: [1.-3. Quartal 2023]']",frl:6473024/data,1fd42eb5adc0edc1594f1c0e2c0b5594,Marktdaten-Generika_Quartal-1-bis-Quartal-3_2023.pdf,application/pdf,2256868,2024-01-31T11:58:30.358+0100,339,339,2024-03-15T10:56:17.447+0100
frl:6473025,public,file,frl:6473023,public,['Evaluation der Nationalen VersorgungsLeitlinien'],frl:6473025/data,f8980c8e7172aaa921bddb0406821f34,schriftenreihe44.pdf,application/pdf,3933931,2024-01-31T11:59:19.787+0100,339,339,2024-03-18T11:29:02.069+0100
frl:6473027,public,file,frl:6473026,public,['Biosecurity — Freedom and Responsibility of Research'],frl:6473027/data,4272bae42f125c22836a66621026b734,opinion-biosecurity.pdf,application/pdf,1214086,2024-02-01T08:46:01.625+0100,337,337,2024-04-11T08:43:07.429+0200
frl:6473029,public,file,frl:6473028,public,['The future of genetic diagnosis – from research to clinical practice'],frl:6473029/data,59387cf3651ee85e9bde5356fb3fac74,opinion-the-future-of-genetic-diagnosis.pdf,application/pdf,706217,2024-02-01T08:48:35.817+0100,337,337,2024-04-11T08:42:10.475+0200
frl:6473031,public,file,frl:6473030,public,['Dementia and self-determination'],frl:6473031/data,bec308a3bcf3daf49e2bbdad57a78f94,opinion-dementia-and-self-determination.pdf,application/pdf,528372,2024-02-01T08:51:26.137+0100,337,337,2024-04-11T08:41:18.346+0200
frl:6473033,public,file,frl:6473032,public,['Risk of cardiovascular events after an exacerbation of chronic obstructive pulmonary disease: Results from the EXACOS-CV cohort study using the PHARMO Data Network in the Netherlands'],frl:6473033/data,d2210cd3987289e3a7be3a6dfe438c49,Swart-et-al_2023_Risk of cardiovascular events.pdf,application/pdf,868024,2024-02-01T09:46:48.972+0100,266,317,2024-02-05T09:04:52.982+0100
frl:6473035,public,file,frl:6473034,public,['Intersexualité'],frl:6473035/data,f38bbd36de31576423dba7666e5076e1,avis-intersexualite.pdf,application/pdf,1760825,2024-02-01T10:29:45.461+0100,337,337,2024-04-11T08:40:25.734+0200
frl:6473037,public,file,frl:6473036,public,['Le diagnostic préimplantatoire'],frl:6473037/data,eec110f9eb70037ab787972bc234100f,DER_Stn_PID_FR_Online.pdf,application/pdf,623008,2024-02-01T10:33:09.387+0100,337,337,2024-04-11T08:39:24.997+0200
frl:6473041,public,file,frl:6473040,public,['Novel antimicrobial/antioxidant Eremurus luteus root gum coating containing rosemary essential oil nanoemulsions for extension of chicken meat shelf life'],frl:6473041/data,e5d36a3e8f09bae672c69675cb9b0d65,Food Science   Nutrition - 2023 - Shahrampour - Novel antimicrobial antioxidant Eremurus luteus root gum coating containing.pdf,application/pdf,478491,2024-02-01T12:05:50.480+0100,286,286,2024-02-01T12:07:18.791+0100
frl:6473043,public,file,frl:6473042,public,['The clustering of multiple health and lifestyle behaviors among Swedish adolescents: A person-oriented analysis'],frl:6473043/data,809ff48154e81f2331bf74040697d654,Jonsson-et-al_2023_The clustering of multiple health and lifestyle behaviors.pdf,application/pdf,1357131,2024-02-01T12:31:57.132+0100,266,317,2024-02-05T09:01:34.746+0100
frl:6473045,public,file,frl:6473044,public,['Mulberry extract upregulates cholesterol efflux and inhibits p38 MAPK-NLRP3-mediated inflammation in foam cells'],frl:6473045/data,5a6640c6def5c267ec0262f1a651b349,Food Science   Nutrition - 2023 - Liu - Mulberry extract upregulates cholesterol efflux and inhibits p38.pdf,application/pdf,9398616,2024-02-01T12:57:42.770+0100,286,286,2024-02-01T12:58:48.372+0100
frl:6473047,public,file,frl:6473046,public,"['Dietary diversity and its association with diet quality and health status of European children, adolescents and adults: Results from the I.Family study']",frl:6473047/data,1043f5bcdb12afef155444430ee858fc,Dello Russo-et-al_2023_Dietary Diversity and Its Association.pdf,application/pdf,1195788,2024-02-01T13:05:05.167+0100,266,317,2024-02-05T08:59:42.152+0100
frl:6473049,public,file,frl:6473048,public,"['Consideration of sex, gender or age on outcomes of digital technologies for treatment and monitoring of chronic obstructive pulmonary disease: Overview of systematic reviews']",frl:6473049/data,fb3093a1dc36f77a70a3ae5528ec7adc,"Matthias-et-al_2023_Consideration of sex, gender or age on outcomes.pdf",application/pdf,814919,2024-02-01T13:24:23.954+0100,266,317,2024-02-05T08:57:44.747+0100
frl:6473051,public,file,frl:6473050,public,['Nutritional and microbiological effects of vermicompost tea in hydroponic cultivation of maple peas (Pisum sativum var. arvense L.)'],frl:6473051/data,bc7ac737db9718d6316730a0cdbcd90a,Food Science   Nutrition - 2023 - Jiang - Nutritional and microbiological effects of vermicompost tea in hydroponic.pdf,application/pdf,18919925,2024-02-01T14:14:37.108+0100,286,286,2024-02-01T14:16:00.640+0100
frl:6473053,public,file,frl:6473052,public,['Total meat (flesh) supply may be a significant risk factor for cardiovascular diseases worldwide'],frl:6473053/data,be6c50951cec4487cabc8009d02c92cf,Food Science   Nutrition - 2023 - You - Total meat  flesh  supply may be a significant risk factor for cardiovascular.pdf,application/pdf,595773,2024-02-01T14:29:53.182+0100,286,286,2024-02-01T14:30:58.281+0100
frl:6473055,public,file,frl:6473054,public,['Hospitalisierungen wegen Atemwegserkrankungen zwischen 2012 und 2022'],frl:6473055/data,a0ad31e10d683e0272eaa61c64d9946b,2313-2200.pdf,application/pdf,426984,2024-02-02T09:05:45.998+0100,339,339,2024-03-18T13:56:06.241+0100
frl:6473057,public,file,frl:6473056,public,['Medikamentenkonsum nimmt seit 30 Jahren kontinuierlich zu'],frl:6473057/data,b4acfd82079949a30260356264ea6b32,2024-0159-d.pdf,application/pdf,174645,2024-02-02T09:10:49.137+0100,339,339,2024-03-22T07:56:31.205+0100
frl:6473059,public,file,frl:6473058,public,['Im Jahr 2022 waren Herz-Kreislauf-Erkrankungen und Krebs für die Hälfte aller Todesfälle verantwortlich'],frl:6473059/data,05b25906180b0b38c75e6f9cdf938dc7,2023-0109-d.pdf,application/pdf,186630,2024-02-02T09:14:01.287+0100,339,339,2024-03-22T08:06:42.154+0100
frl:6473063,public,file,frl:6473062,public,['Medizinische Grundversorgung: Halb so viele Ärztinnen und Ärzte pro Kopf auf dem Land wie in der Stadt'],frl:6473063/data,80f5d9de3b19e0299428537309426fc7,2023-0177-d.pdf,application/pdf,208977,2024-02-02T09:31:08.324+0100,339,339,2024-03-22T07:39:41.536+0100
frl:6473065,public,file,frl:6473064,public,['Konsolidierung der Spitaltätigkeit im Jahr 2022'],frl:6473065/data,c2fb93fd5d6ad0effa328ad7b68bfd80,2023-0168-d.pdf,application/pdf,160033,2024-02-02T10:29:59.921+0100,339,339,2024-03-22T08:44:51.272+0100
frl:6473067,public,file,frl:6473066,public,['Schweizerische Operationsklassifikation (CHOP)'],frl:6473067/data,a6354833a0804a2a76b576b9fb0509e6,659-2412.pdf,application/pdf,3397194,2024-02-02T10:32:27.174+0100,339,339,2024-03-22T08:53:00.871+0100
